duration,responseId,Angry Orchard,Bacardi,Budweiser,Coors Light,Corona,Crown Royal,Delta Dirt,High Noon,Lost Forty Brewing,Scarlett Letter,Smirnoff,Titos,Topo Chico Seltzer,Truly,White Claw,Ben & Jerry's,Coca-Cola,Campbell,General Mills,Hershey,Impossible Burger,Kellogg,Kraft,Loblolly Creamery,My Brother's Salsa,Nestle,Onyx Coffee,Pepsico,Tyson,Burger King,Chick-fil-A,Chipotle,Cracker Barrel,Domino's,Firehouse Subs,Five Guys Burgers and Fries,Jimmy John's,KFC,Mcdonald's,Panera Bread,Papa John's,Popeyes,Raising Cane's Chicken Fingers,Sonic Drive-In,Starbucks,Subway,Sweetgreen,Taco Bell,Waffle House,Wright's BBQ,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q11,Q12_1,Q12_2,Q12_3,Q12_4,Q13,Q14,Q15,Q16,Q17,Q18,Q19_1,Q21_1,Q21_2,Q21_3,Q21_4,Q23_1,Q23_2,Q23_3,Q23_4
445,R_3usMNZdf9IEbxIM,,4,3,2,4,4,3,5,3,3,5,3,,5,5,3,5,,,,,,,4,3,3,5,3,4,3,4,,,3,4,3,,,3,4,,3,3,,4,4,3,3,3,4,5,6,5,7,7,No,White or Caucasian,,,,4,"$75,000-$99,999",72113,25-34 years old,Female,Democrat,1,1,1,1,1,5,5,1,1
897,R_7Yhs80ZvUtsbCj7,4,4,1,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,3,4,4,4,2,4,3,4,4,4,5,5,5,4,5,4,4,3,3,4,3,4,4,3,1,4,3,3,4,3,6,6,6,4,5,No,White or Caucasian,,,,4,"$75,000-$99,999",71913,45-54 years old,Female,Republican,6,3,3,2,2,1,1,3,5
1038,R_6ERusQBFscnoUox,3,4,5,1,1,1,1,1,1,1,2,2,2,4,4,2,2,4,4,4,2,4,4,5,4,2,4,3,2,4,5,4,4,2,4,2,4,2,1,5,1,4,4,1,5,1,2,1,4,5,7,5,5,5,2,No,White or Caucasian,,,,4,"$100,000-$149,999",72113,65+ years old,Female,Republican,5,2,2,2,2,3,3,1,3
445,R_3iR0oJKjF6hJL4B,2,2,1,1,1,1,1,1,2,2,1,1,1,2,2,4,5,4,4,4,3,4,4,2,2,4,3,3,3,4,3,3,4,4,2,3,3,4,4,3,3,2,2,4,2,3,3,4,3,3,5,5,5,5,5,No,White or Caucasian,,,,4,"$25,000-$49,999",71836,65+ years old,Male,Republican,7,3,3,3,3,1,1,1,5
605,R_6QCFreb6Zet7Jnz,4,,4,5,3,3,2,,3,2,4,4,3,4,5,5,5,4,5,5,3,,3,3,3,5,,,,,,,,,,,,5,3,3,,,,,1,2,,,,,5,2,6,4,6,Yes,White or Caucasian,,,,4,"$50,000-$74,999",72791,65+ years old,Female,Independent,6,5,5,5,3,3,1,1,2
324,R_5hTEwkx8RaGnTfr,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,No,White or Caucasian,,,,5,"$100,000-$149,999",72211,35-44 years old,Male,Democrat,7,5,5,5,5,5,4,3,4
577,R_7oGZI5Yv5xl8nuh,1,2,3,2,2,4,1,1,4,1,4,1,1,1,1,,,,,,,,,,,,,,,4,1,1,4,1,1,1,2,2,2,2,,,,,,,,,,,6,6,6,4,5,No,White or Caucasian,,,,5,"$50,000-$74,999",72086,65+ years old,Female,Democrat,1,5,5,5,5,5,5,1,1
400,R_1l3l1bSazYDRJEl,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,3,3,1,3,3,4,,,2,2,4,,5,,4,,,4,2,2,2,3,,,,,2,,,,,,7,6,6,3,3,No,White or Caucasian,,American Indian/Native American or Alaska Native,Asian,5,"$75,000-$99,999",72734,25-34 years old,Female,Republican,7,4,4,5,1,1,1,2,5
643,R_5zDoRzA5cUPreil,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,1,1,1,4,3,1,1,3,1,5,1,1,1,4,1,3,3,1,1,1,1,4,1,1,1,1,1,4,3,6,6,6,6,6,No,White or Caucasian,,,,5,"$50,000-$74,999",71854,65+ years old,Female,Republican,7,5,4,5,5,1,1,2,5
771,R_6D6ocBNETm9GpE4,4,2,4,4,4,2,1,1,,1,2,2,1,1,1,3,4,4,4,5,1,4,5,2,2,5,,5,5,4,4,3,4,5,,4,3,2,5,3,4,5,5,5,,,1,3,2,3,5,7,3,2,1,No,White or Caucasian,,,,5,"$25,000-$49,999",72764,65+ years old,Male,Democrat,3,1,1,1,3,4,4,1,1
539,R_5I4bMiYOdmlpKes,4,3,1,1,2,5,,,5,3,4,1,,,4,5,5,4,4,4,3,,,,5,,,,,4,4,4,4,4,,5,1,2,2,4,4,4,,4,,,,,,,5,5,5,5,5,No,White or Caucasian,,American Indian/Native American or Alaska Native,,5,"$25,000-$49,999",72653,45-54 years old,Female,Independent,5,1,1,5,4,3,3,1,1
695,R_19vrHW7mkg67yKh,5,4,2,2,4,4,2,3,4,2,4,5,5,4,5,2,4,4,5,2,4,4,2,5,5,4,5,2,4,4,5,4,5,5,5,5,5,4,4,5,4,4,5,5,2,4,5,4,5,5,5,5,5,5,5,No,White or Caucasian,,,,5,"$50,000-$74,999",72714,55-64 years old,Female,Independent,5,2,2,2,5,4,5,1,1
286,R_5akTdzMdhGLFsVr,2,2,5,2,4,2,2,2,2,2,2,2,2,2,2,2,5,4,2,5,2,2,5,2,2,2,2,2,2,4,5,2,2,2,2,1,1,5,5,1,1,1,1,5,2,2,1,5,2,2,3,3,3,5,5,No,White or Caucasian,,,,2,"$50,000-$74,999",72401,25-34 years old,Female,Democrat,1,1,2,2,2,2,1,2,2
727,R_5PImuJgu4VWfjd7,3,4,5,,2,5,2,2,2,,4,,2,2,4,1,1,4,4,4,2,4,4,2,2,5,2,5,4,2,5,4,4,4,4,2,2,3,4,2,2,5,2,4,5,5,2,1,2,2,7,5,6,7,5,No,White or Caucasian,,,,2,"$25,000-$49,999",72653,55-64 years old,Male,Republican,5,3,2,2,2,3,3,2,3
421,R_7qgGNS80ywIKIY6,2,4,2,2,2,2,1,1,1,1,5,2,2,2,2,5,3,5,5,5,2,5,5,2,2,5,2,5,5,2,5,4,4,2,2,2,2,1,4,2,2,4,2,5,5,5,2,5,5,2,7,7,7,7,7,No,White or Caucasian,,,,2,"Less than $25,000",72064,55-64 years old,Female,Independent,4,3,3,5,2,5,5,1,1
892,R_7KqemofHmIymew5,2,1,1,1,1,1,1,1,1,1,2,2,1,2,2,4,4,5,5,2,3,5,5,3,3,5,3,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,3,3,6,7,6,6,7,No,White or Caucasian,,,,2,"Less than $25,000",71913,65+ years old,Female,Independent,4,3,2,3,3,5,5,1,1
371,R_6lxoKTQcS5hG5CC,5,1,5,5,1,1,5,5,5,5,1,5,5,5,1,5,1,5,5,1,5,5,1,5,5,5,5,5,5,2,4,5,5,5,5,1,1,1,2,5,5,5,2,5,2,5,1,5,5,2,7,7,7,7,7,No,White or Caucasian,,,,2,"Less than $25,000",72834,55-64 years old,Female,Republican,5,3,3,3,3,1,5,1,1
507,R_3eKuWxlRPhnGHBQ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,4,4,3,3,4,4,4,2,3,2,1,4,2,4,2,3,2,3,3,4,4,2,3,2,3,3,4,4,4,2,3,3,2,7,7,7,6,7,No,White or Caucasian,,,,2,"$75,000-$99,999",72802,35-44 years old,Female,No preference,4,2,2,2,3,4,5,3,1
767,R_3ZAL0r4ZvOGp4eR,4,3,5,3,5,1,1,1,1,1,3,5,1,1,1,5,4,5,5,5,1,5,5,2,2,5,2,4,3,4,5,5,5,4,3,4,3,4,4,4,4,4,4,5,3,5,3,4,5,3,7,7,7,7,7,No,White or Caucasian,,,,2,"$25,000-$49,999",72583,25-34 years old,Female,Democrat,6,2,1,2,3,3,5,1,2
1196,R_1VR3uqgJa7dcUHQ,,4,,4,4,4,,,,,4,,,,3,,,4,,5,,,4,,,5,,,4,4,,5,4,5,,4,,5,,5,,,,4,4,,,,,,5,4,5,3,4,No,White or Caucasian,,,,2,"$25,000-$49,999",72712,65+ years old,Female,Independent,6,4,4,2,3,5,5,1,1
614,R_3rGaa2xLFfldS3D,1,2,4,3,,5,1,4,,2,,2,2,1,1,,5,,4,5,1,5,4,1,1,5,1,5,4,,5,2,2,2,5,5,2,4,1,2,2,,5,4,1,4,1,4,4,4,6,7,5,3,6,No,White or Caucasian,,,,2,"$50,000-$74,999",72908,55-64 years old,Male,No preference,4,5,3,3,5,2,2,3,2
630,R_3FKGfL2f8ARN8Mz,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,4,5,5,1,4,3,1,1,5,1,4,2,5,5,3,4,2,1,1,1,5,3,2,1,4,1,3,1,,1,2,4,1,3,5,4,1,5,No,,Black or African American,,,2,Prefer not to say,71854,55-64 years old,Female,Democrat,3,2,2,4,2,3,1,3,5
539,R_1n6ZxMTdQyr63Kd,2,3,2,2,2,1,2,2,2,2,4,5,1,5,2,2,5,2,2,5,5,5,2,2,2,5,2,5,5,5,5,5,5,3,2,5,4,5,5,2,2,5,5,5,5,5,2,5,5,5,3,3,3,5,5,No,,Black or African American,,,2,"$25,000-$49,999",72401,35-44 years old,Male,Independent,5,5,5,5,5,4,1,5,5
265,R_1LUNEI6OMhX838R,4,5,2,1,4,4,3,4,4,2,2,4,4,4,2,2,5,5,2,5,2,4,4,2,2,4,2,4,4,5,5,2,4,4,4,5,4,5,5,5,5,5,5,5,5,5,2,5,5,4,7,7,7,6,6,No,,Black or African American,,,2,"$50,000-$74,999",72118,18-24 years old,Female,Republican,7,3,3,3,4,5,5,1,2
409,R_1fTuM9aVBXbE4zD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,,5,5,,,4,,5,5,5,5,,5,5,,,4,4,5,,5,4,4,5,5,5,,5,5,,5,5,5,5,5,No,White or Caucasian,,,,2,"$25,000-$49,999",72761,25-34 years old,Female,No preference,4,5,3,3,2,2,3,2,4
691,R_7AEHGW6KQnXJQB9,1,4,2,2,1,1,1,,,,5,,,5,5,4,4,4,4,4,1,4,4,1,1,5,1,5,4,4,3,2,2,4,4,2,4,4,1,1,2,4,1,5,1,1,1,5,4,1,3,5,5,3,3,No,,Black or African American,,,2,"Less than $25,000",71901,55-64 years old,Female,Independent,4,3,2,2,2,2,3,2,2
357,R_1c5k3eUUelXIj3H,4,4,2,2,4,,2,2,2,2,4,,2,2,,4,4,,4,4,1,4,4,3,2,4,2,4,4,4,4,3,3,2,4,2,3,1,3,2,4,4,2,3,3,3,2,4,,2,6,5,4,5,2,No,White or Caucasian,,,,2,"$50,000-$74,999",72956,35-44 years old,Female,Republican,6,3,3,3,3,1,2,3,4
710,R_7rYmbee4HWQAiPT,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,,,,3,3,,3,3,,,,,,1,4,4,4,1,4,3,,1,1,2,3,1,1,2,,,1,1,1,1,6,6,4,6,6,No,,Black or African American,,,1,"$50,000-$74,999",71726,45-54 years old,Female,Republican,7,5,4,4,1,1,1,3,5
617,R_3GqcnCQXxTZuyGe,1,2,2,2,2,1,1,1,1,1,2,1,2,1,1,5,4,5,5,5,3,5,5,3,3,5,3,5,5,4,5,4,5,4,2,3,2,4,5,2,3,5,3,5,3,2,2,4,5,3,4,6,6,5,4,No,White or Caucasian,,,,1,"$25,000-$49,999",72562,65+ years old,Female,Republican,5,2,2,3,3,2,2,3,3
529,R_1aQONzinKuwspJG,3,3,4,4,4,3,3,3,3,,4,3,,3,3,3,5,5,5,5,,3,3,3,3,5,3,3,3,3,5,3,5,3,3,5,5,3,3,3,3,4,5,3,3,4,3,4,3,3,4,5,4,4,4,No,White or Caucasian,,,,1,"$75,000-$99,999",72843,45-54 years old,Female,Republican,3,2,4,3,3,1,1,2,1
584,R_3kptTBGcjq55A9r,1,,5,,5,5,1,1,1,1,5,1,1,1,,1,5,5,1,5,5,1,1,1,,5,1,1,5,5,5,1,5,5,5,1,1,,5,1,3,5,5,5,5,5,1,5,1,1,5,3,3,3,5,No,White or Caucasian,,,,1,"$25,000-$49,999",72701,18-24 years old,Female,Independent,4,2,1,2,1,3,3,1,1
755,R_1kwgtEBkorWtTFK,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,5,5,5,1,5,5,1,1,5,1,5,5,5,5,1,4,4,1,1,1,,4,1,1,4,5,5,1,1,1,4,4,1,7,7,3,1,5,No,White or Caucasian,,,,1,"$50,000-$74,999",72104,55-64 years old,Female,Republican,7,2,3,3,2,1,1,5,5
344,R_5rc628htfAvVKZ3,2,4,1,2,4,2,4,2,4,2,5,2,2,4,2,5,2,5,1,2,4,2,5,2,4,2,4,2,4,2,5,1,4,2,4,2,4,2,4,5,4,2,2,4,1,5,1,5,4,2,5,3,6,2,5,Yes,,Black or African American,,,1,"Less than $25,000",72366,18-24 years old,Male,Independent,6,4,2,3,4,2,3,1,2
550,R_7D0UCOwb1Fcj0xD,1,2,2,2,2,2,1,1,1,1,,1,1,1,1,,2,3,4,4,1,,4,1,1,4,1,,4,2,,4,4,4,2,1,2,2,1,2,,1,1,,1,,,2,2,1,5,5,5,3,5,No,White or Caucasian,,,,1,"$50,000-$74,999",72715,65+ years old,Female,Independent,5,3,3,2,2,3,3,2,3
279,R_5IHv2mDmk2r1Gcm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,6,No,White or Caucasian,,,,1,"$50,000-$74,999",72774,25-34 years old,Female,Independent,3,1,1,1,4,5,5,1,1
973,R_3uxDYM0dM7l3or2,1,1,2,2,2,2,4,1,2,1,2,2,1,1,1,5,5,5,5,5,4,5,5,,4,5,2,3,5,5,5,3,5,3,4,5,4,5,5,,3,5,3,4,3,5,2,5,5,5,6,6,4,5,4,No,White or Caucasian,,,,1,"$50,000-$74,999",72210,65+ years old,Female,Independent,5,3,4,4,2,5,5,1,1
660,R_5E3ErHzO9WLIoiR,2,1,,4,5,2,1,1,1,1,2,,2,3,1,5,4,4,5,5,1,2,,2,2,4,1,2,,5,3,2,5,2,2,2,1,1,1,4,2,,4,4,1,3,1,1,2,1,7,7,7,3,5,No,White or Caucasian,,,,1,"Less than $25,000",72141,55-64 years old,Female,Republican,6,4,3,2,4,2,2,5,5
951,R_5kHTWz1enHX8T5b,2,5,5,4,4,5,2,1,1,1,5,1,1,3,2,,4,4,4,5,,4,5,2,2,5,2,3,4,4,2,1,5,5,4,5,4,4,5,4,3,1,1,5,5,5,2,4,4,2,1,6,3,7,2,No,White or Caucasian,,,,1,"Less than $25,000",72076,35-44 years old,Female,No preference,2,3,2,5,3,5,5,2,2
462,R_7kx9aQK4XDQNwXv,,5,5,5,5,5,3,3,3,3,5,3,3,4,4,5,5,5,5,5,3,5,5,4,5,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,3,7,7,4,1,4,No,White or Caucasian,,,,1,"$25,000-$49,999",72114,45-54 years old,Female,Independent,4,1,1,1,3,4,3,1,1
935,R_62u4ls3CCVqWFvr,4,2,4,4,4,4,2,2,2,4,4,2,2,,,5,4,4,4,4,2,4,4,2,2,2,2,2,4,4,2,2,2,5,4,2,2,2,4,2,4,4,2,4,2,,,4,5,2,5,3,3,5,5,No,White or Caucasian,,,,1,"Less than $25,000",72143,45-54 years old,Male,Democrat,5,3,3,3,1,3,2,3,4
623.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
