duration,responseId,Q4_0_GROUP,Q4_1_GROUP,Q4_2_GROUP,Q5_0_GROUP,Q5_1_GROUP,Q5_2_GROUP,Q6_0_GROUP,Q6_1_GROUP,Q6_2_GROUP,angryorchard,bacardi,budweiser,coors,corona,crownroyal,highnoon,newbelgium,odells,smirnoff,scrumpys,titos,topochico,truly,whiteclaw,benjerry,coke,campbell,chocolove,generalmills,hershey,impossible,kellogg,kraft,larabar,nestle,pepsico,pueblochiles,tyson,burgerking,chickfila,chipotle,crackerbarrel,denverbiscuit,dominos,firehouse,fiveguys,illegalpete,jimmyjohns,kfc,mcdonalds,musiccity,panera,papajohns,popeyes,raisingcanes,sonic,starbucks,subway,sweetgreen,tacobell,wafflehouse,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q17_4_TEXT,Q18,Q18_4_TEXT,Q19_1,Q21_1,Q21_2,Q21_3,Q21_4,Q23_1,Q23_2,Q23_3,Q23_4,Q_TotalDuration,Race
582,R_7hJZGvRS0DJCZ3A,"Coors Light,Budweiser,Corona","Bacardi,Titos,Crown Royal,Smirnoff","Angry Orchard,Truly,Topo Chico Seltzer,White Claw,Scrumpys Cider,Odells,High Noon,New Belgium","Taco Bell,Mcdonald's,Domino's,Burger King,Firehouse Subs,Music City Hot Chicken,Five Guys Burgers and Fries,Sonic Drive-In,Illegal Pete's,Jimmy John's,Papa John's,Chick-fil-A,Subway","Starbucks,Sweetgreen,CAVA","Waffle House,Denver Biscuit Co,KFC,Popeyes,Panera Bread,Cracker Barrel,Raising Cane's Chicken Fingers","Coca-Cola,Pepsico","Tyson,Kraft,Kellogg","Nestle,Hershey",4,3,3,5,3,3,3,3,3,3,3,3,3,3,,,5,5,,,,,4,4,,,,,4,,5,,4,,,,,,,4,4,,,,,,,,4,,,,7,7,4,2,4,No,White or Caucasian,Bachelor’s degree,"$25,000-$49,999",80538,65+ years old,Female,,Republican,,5,3,3,4,2,3,4,1,1,582,W
729,R_52f3vC794pIIjDZ,"Bacardi,Smirnoff,Crown Royal","New Belgium,Coors Light,Corona,Budweiser","Topo Chico Seltzer,Angry Orchard,Scrumpys Cider","Burger King,Chick-fil-A,Mcdonald's,Taco Bell,Subway","Panera Bread,Music City Hot Chicken,Denver Biscuit Co","Starbucks,Waffle House,Sonic Drive-In","Hershey,Ben & Jerry's,Chocolove,Nestle","Kellogg,Kraft,Coca-Cola,General Mills","Pueblo Chiles,Tyson,Impossible Burger",,4,5,,4,5,,4,,,5,4,5,,,5,4,4,,,4,5,,,,4,5,,5,2,1,4,,5,4,3,5,,2,,,,4,,,,4,5,5,,,,4,5,5,3,5,No,White or Caucasian,Bachelor’s degree,"$50,000-$74,999",81130,65+ years old,Female,,Democrat,,2,2,2,1,3,4,5,1,1,729,W
645,R_7fiVMedLNuMY3iP,"Coors Light,Corona,Budweiser","Bacardi,Crown Royal,Smirnoff","Topo Chico Seltzer,White Claw,Angry Orchard","Burger King,Five Guys Burgers and Fries","Domino's,Papa John's","Popeyes,Raising Cane's Chicken Fingers","Ben & Jerry's,Tyson","Kraft,Nestle,General Mills","Pepsico,Coca-Cola",,4,4,4,,4,,4,,,,,,,,,4,4,,4,,,4,,,,4,,,2,4,,,,,4,4,,4,,,,4,,,4,,,,,,,5,5,5,5,5,No,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","Less than $25,000",80501,65+ years old,Male,,Republican,,1,3,2,3,2,2,2,3,4,645,W
560,R_3otVnRXZx0TeF8J,"Smirnoff,Titos,Crown Royal,Bacardi","New Belgium,Corona,Coors Light,Budweiser","Scrumpys Cider,Angry Orchard,High Noon,Topo Chico Seltzer,White Claw,Truly,Odells","Burger King,Chipotle,Domino's,Chick-fil-A,Popeyes,KFC,Starbucks,Five Guys Burgers and Fries,Sonic Drive-In,Waffle House,Taco Bell,Mcdonald's,Jimmy John's","Firehouse Subs,Cracker Barrel,Denver Biscuit Co,Papa John's,Panera Bread,Raising Cane's Chicken Fingers,Subway,CAVA,Sweetgreen","Music City Hot Chicken,Illegal Pete's","Hershey,General Mills,Kraft,Nestle,Pepsico,Campbell,Tyson","Larabar,Chocolove,Pueblo Chiles,Kellogg,Impossible Burger","Coca-Cola,Ben & Jerry's",3,3,1,5,3,5,3,3,1,4,3,3,1,3,3,1,1,5,3,3,3,1,3,5,3,5,5,3,3,3,3,4,3,3,3,3,3,3,3,3,5,,3,3,5,3,3,1,3,3,3,3,7,4,4,4,4,No,White or Caucasian,Bachelor’s degree,"Less than $25,000",80112,65+ years old,Male,,Republican,,6,5,5,5,1,1,1,4,4,560,W
514,R_1gSlcfzqSsLYeKK,"Corona,Coors Light","Smirnoff,White Claw","Crown Royal,Bacardi","Domino's,Papa John's","KFC,Raising Cane's Chicken Fingers","Music City Hot Chicken,Popeyes","Pepsico,Coca-Cola","Nestle,Hershey","Kellogg,General Mills",,1,3,4,5,2,,,,,,,,,,,1,,,,3,,,5,,4,2,,,,1,,2,3,,,,,4,,,,5,,,,,,,,,,5,4,1,3,2,No,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$25,000-$49,999",80906,65+ years old,Male,,Independent,,4,3,3,4,4,3,3,2,1,514,W
287,R_5amXOxzpxOxfJjr,"Angry Orchard,New Belgium,Bacardi,Corona","Coors Light,Budweiser,Smirnoff","Crown Royal,Titos,Topo Chico Seltzer,White Claw,Truly,High Noon,Scrumpys Cider,Odells","Raising Cane's Chicken Fingers,Taco Bell,Panera Bread,Starbucks,Popeyes,Mcdonald's,Burger King,Five Guys Burgers and Fries,Firehouse Subs","Chick-fil-A,KFC,Subway,Illegal Pete's,Jimmy John's,Waffle House,Chipotle","CAVA,Sweetgreen,Papa John's,Music City Hot Chicken,Sonic Drive-In,Domino's,Cracker Barrel,Denver Biscuit Co","Ben & Jerry's,Hershey,Kellogg,General Mills,Coca-Cola,Campbell,Pepsico,Kraft","Impossible Burger,Tyson,Nestle","Larabar,Pueblo Chiles,Chocolove",4,4,3,2,3,2,2,4,2,3,3,3,3,4,4,4,4,4,2,3,3,3,4,3,3,3,3,3,3,4,4,4,1,1,1,4,5,2,2,4,4,1,4,4,4,4,2,4,4,4,4,3,5,5,5,4,4,No,White or Caucasian,Associates or technical degree,"$50,000-$74,999",80234,35-44 years old,Male,,Democrat,,5,1,1,1,5,5,5,1,1,287,W
925,R_1B6dSJERYA3tkkh,"Odells,Coors Light,Crown Royal,Corona,Budweiser,New Belgium","Smirnoff,Bacardi","Titos,Truly,High Noon,White Claw,Scrumpys Cider,Topo Chico Seltzer,Angry Orchard","Mcdonald's,Burger King,Chick-fil-A,Taco Bell,Popeyes,Sonic Drive-In,KFC","Five Guys Burgers and Fries,Raising Cane's Chicken Fingers,Subway,Jimmy John's,Papa John's,Domino's,Chipotle","Panera Bread,Cracker Barrel,Music City Hot Chicken,Firehouse Subs,Waffle House","Hershey,Chocolove,Ben & Jerry's","Coca-Cola,Nestle,Pepsico","Kellogg,Tyson,General Mills,Kraft,Campbell",5,2,2,1,1,1,5,4,4,3,5,5,5,5,5,5,1,1,3,2,1,5,2,2,5,3,4,5,2,,1,4,3,5,3,4,5,5,2,3,,5,5,2,4,5,3,5,3,5,2,3,7,7,6,5,5,Yes,Other,Associates or technical degree,"$50,000-$74,999",80128,55-64 years old,Male,,Independent,,5,3,3,3,4,3,3,5,3,925,H
547,R_6YgLrjiKsSO85q1,"Corona,Crown Royal","Bacardi,Budweiser","Smirnoff,Coors Light","Firehouse Subs,Jimmy John's","Mcdonald's,Burger King","Papa John's,Domino's","Kellogg,General Mills","Hershey,Kraft,Nestle","Pepsico,Coca-Cola",2,2,1,1,,,1,1,1,2,1,1,1,1,1,4,,,1,2,2,1,2,2,1,,1,1,2,1,1,5,4,,2,2,2,1,,1,1,,4,4,1,,,2,,1,1,1,6,5,5,6,5,No,White or Caucasian,Associates or technical degree,"$75,000-$99,999",80916,45-54 years old,Female,,No preference,,4,1,1,1,4,5,5,1,1,547,W
1220,R_7DYoXeYsTddHPDf,"Coors Light,Budweiser","Crown Royal,Smirnoff","Bacardi,Corona","Burger King,Mcdonald's","Chick-fil-A,Music City Hot Chicken","Taco Bell,Jimmy John's","Pepsico,Coca-Cola","Nestle,Hershey","Kellogg,General Mills",1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,,2,5,2,3,5,,4,5,,5,5,2,4,5,5,,4,,4,1,1,1,3,4,1,,1,,,1,4,1,5,1,5,1,5,5,4,5,5,No,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","Less than $25,000",81501,65+ years old,Male,,Republican,,6,3,2,1,4,1,1,3,5,1220,W
1656,R_5CZ74gIiUV0AbwV,"Corona,Budweiser","White Claw,Smirnoff","Bacardi,Crown Royal","Firehouse Subs,Subway","Burger King,Mcdonald's","Popeyes,KFC","Hershey,Chocolove","General Mills,Kraft","Pepsico,Coca-Cola",1,4,1,1,1,2,1,2,1,5,1,2,2,2,4,5,4,3,1,3,5,1,2,5,1,5,1,1,5,5,1,2,1,5,5,1,1,1,1,4,5,1,1,5,5,1,5,5,5,1,5,1,7,6,6,4,3,Yes,Other,High school diploma or GED,"Less than $25,000",81520,25-34 years old,Female,,Independent,,4,2,1,1,2,1,1,2,1,1656,H
554,R_7rHqDkam6WfMK6x,"Budweiser,Corona,Coors Light,New Belgium,Odells","Smirnoff,Crown Royal,Bacardi","Angry Orchard,Titos,Scrumpys Cider,White Claw,Topo Chico Seltzer,High Noon,Truly","Five Guys Burgers and Fries,Burger King","Jimmy John's,Firehouse Subs","Raising Cane's Chicken Fingers,Popeyes","Coca-Cola,Pepsico","Kellogg,General Mills","Nestle,Chocolove",2,1,5,4,4,1,2,3,3,1,3,2,2,1,1,1,1,4,4,4,5,4,4,5,4,5,1,4,4,4,4,2,2,1,4,4,4,3,5,1,1,1,1,3,2,2,3,1,3,2,1,1,6,5,7,1,7,No,White or Caucasian,Bachelor’s degree,"Less than $25,000",80241,55-64 years old,Male,,Republican,,6,4,5,3,4,3,3,2,3,554,W
414,R_7aWWdmhJhCyxiCf,"Angry Orchard,Crown Royal,Coors Light,Budweiser","Bacardi,Corona,Odells,Smirnoff,New Belgium,Titos","White Claw,Scrumpys Cider,Truly,Topo Chico Seltzer,High Noon","Cracker Barrel,Taco Bell,Burger King,Papa John's,Jimmy John's,Panera Bread,KFC,Music City Hot Chicken","Popeyes,Chick-fil-A,Denver Biscuit Co,CAVA,Starbucks,Sweetgreen,Raising Cane's Chicken Fingers,Illegal Pete's,Chipotle,Waffle House,Sonic Drive-In,Firehouse Subs,Domino's,Subway","Five Guys Burgers and Fries,Mcdonald's","Coca-Cola,Kraft,Pepsico","Kellogg,Nestle,Pueblo Chiles","Chocolove,Impossible Burger,Tyson",4,4,4,4,4,4,4,3,3,3,3,3,3,4,3,4,5,4,4,4,5,4,4,4,4,4,4,4,4,4,2,4,4,1,4,4,4,2,4,2,2,1,3,4,2,4,4,2,5,2,5,4,6,6,6,6,6,No,White or Caucasian,Associates or technical degree,"$50,000-$74,999",80249,55-64 years old,Male,,Independent,,4,4,4,4,4,1,1,1,1,414,W
250,R_7FKDduBfXbso0J6,"Angry Orchard,Bacardi,High Noon,Crown Royal,Corona,Coors Light,Budweiser","New Belgium,Odells,Truly,Smirnoff,Topo Chico Seltzer,Titos","Scrumpys Cider,White Claw","Burger King,Taco Bell,Waffle House,Sweetgreen,Subway,Popeyes,Papa John's,Starbucks,Illegal Pete's,Mcdonald's,Sonic Drive-In","Denver Biscuit Co,Raising Cane's Chicken Fingers,Panera Bread,Firehouse Subs,Music City Hot Chicken,Jimmy John's,Chipotle,CAVA","Five Guys Burgers and Fries,KFC,Chick-fil-A,Domino's,Cracker Barrel","Ben & Jerry's,Pepsico,Impossible Burger,Tyson,Pueblo Chiles,Nestle","Larabar,Coca-Cola,Campbell,Chocolove","Kraft,General Mills,Kellogg,Hershey",4,4,5,5,5,5,1,2,2,4,5,5,1,1,1,5,5,5,5,1,5,2,5,4,2,4,5,1,1,4,2,1,5,5,4,2,2,4,2,,,,4,5,,5,4,1,,,1,,1,2,1,7,1,No,White or Caucasian,"Some college, but no degree","Less than $25,000",80113,18-24 years old,Male,,Independent,,2,2,2,2,2,2,2,2,2,250,W
592,R_6A0iV6gxHdnFjyN,"Bacardi,Crown Royal,Titos,Smirnoff","Truly,High Noon,Angry Orchard,White Claw,Topo Chico Seltzer,Scrumpys Cider","Coors Light,Budweiser,Corona,Odells,New Belgium","Mcdonald's,Burger King","Subway,Firehouse Subs,Jimmy John's","Raising Cane's Chicken Fingers,KFC,Chick-fil-A,Music City Hot Chicken","Kellogg,General Mills","Nestle,Ben & Jerry's","Pepsico,Coca-Cola",3,4,3,4,4,,,4,4,4,,,,4,4,,,4,,4,,,4,4,,4,,,,,2,,,3,4,4,4,,4,,4,3,4,4,,4,,4,,,4,,6,5,4,4,5,No,White or Caucasian,Bachelor’s degree,"$50,000-$74,999",80538,65+ years old,Female,,Democrat,,2,1,1,1,1,5,5,1,1,592,W
611,R_3FKBLVekwK7AoOH,"Odells,Budweiser,Coors Light,Corona","New Belgium,Smirnoff,Truly,White Claw","Crown Royal,Bacardi","Burger King,Mcdonald's,Five Guys Burgers and Fries","Subway,Jimmy John's,Firehouse Subs,Panera Bread","Popeyes,Chick-fil-A,KFC,Raising Cane's Chicken Fingers","Pepsico,Coca-Cola","Ben & Jerry's,Chocolove,Nestle","Kellogg,General Mills",2,4,4,5,5,4,3,4,,4,2,2,2,2,3,5,4,4,3,4,4,5,5,5,3,4,4,,4,,4,5,4,4,4,4,5,3,4,3,4,3,5,4,3,4,3,5,4,5,4,2,6,6,6,7,7,No,White or Caucasian,Bachelor’s degree,"$150,000 or more",80922,65+ years old,Male,,Democrat,,2,3,2,1,3,5,5,1,1,611,W
524,R_5P5gPEQyUU3XNLZ,"Crown Royal,Bacardi,Smirnoff,Titos","New Belgium,Odells,High Noon,Corona,Budweiser,Coors Light","White Claw,Truly,Angry Orchard,Scrumpys Cider,Topo Chico Seltzer","Five Guys Burgers and Fries,Mcdonald's,Chick-fil-A,Raising Cane's Chicken Fingers,Popeyes,CAVA,Taco Bell,Sonic Drive-In,Burger King,KFC","Panera Bread,Papa John's,Denver Biscuit Co,Domino's,Cracker Barrel,Firehouse Subs,Waffle House,Starbucks,Music City Hot Chicken","Sweetgreen,Illegal Pete's,Chipotle,Subway,Jimmy John's","Hershey,Chocolove,Larabar","Kellogg,Pepsico,Coca-Cola,Campbell,Ben & Jerry's,Nestle,General Mills","Impossible Burger,Pueblo Chiles,Tyson,Kraft",1,1,1,1,3,1,1,3,2,2,2,3,1,1,1,4,1,3,3,3,3,2,3,3,3,4,1,4,4,1,1,2,1,3,2,2,2,2,2,1,1,2,2,2,3,2,1,4,2,,1,2,2,3,5,4,5,No,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$150,000 or more",80241,65+ years old,Female,,Republican,,4,1,1,1,1,5,5,1,1,524,W
742,R_6MKSMdjfXFmy9mu,"Angry Orchard,Scrumpys Cider","Titos,Smirnoff","White Claw,Truly","Five Guys Burgers and Fries,Burger King,Mcdonald's","Domino's,Papa John's","Jimmy John's,Subway,Firehouse Subs","Coca-Cola,Pepsico","General Mills,Kellogg","Hershey,Nestle,Chocolove",5,5,4,4,5,5,3,3,1,2,1,5,1,2,3,5,5,5,1,5,5,1,5,5,1,5,5,2,4,5,5,5,5,3,5,4,5,1,3,3,3,1,2,1,4,3,1,3,5,3,2,1,5,7,7,4,4,No,White or Caucasian,Bachelor’s degree,"$50,000-$74,999",80517,65+ years old,Male,,Independent,,4,3,3,2,1,2,3,1,2,742,W
18774,R_7rUZgHEVNHgjIzZ,"Angry Orchard,New Belgium,Smirnoff,High Noon,Truly,Titos,Scrumpys Cider,Odells,Crown Royal","Bacardi,Coors Light,Budweiser,Corona","Topo Chico Seltzer,White Claw","Burger King,Mcdonald's,Chick-fil-A,Firehouse Subs,Panera Bread,Subway,Sonic Drive-In,Starbucks,Raising Cane's Chicken Fingers,Taco Bell,Popeyes,KFC,Five Guys Burgers and Fries,Jimmy John's,CAVA","Sweetgreen,Music City Hot Chicken,Waffle House,Illegal Pete's,Denver Biscuit Co,Cracker Barrel,Chipotle","Papa John's,Domino's","Ben & Jerry's,Chocolove,Hershey,Nestle","Tyson,Campbell,Kellogg,General Mills,Impossible Burger,Kraft,Larabar,Pueblo Chiles","Coca-Cola,Pepsico",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,5,1,3,5,3,3,4,4,4,3,3,3,3,5,5,3,3,3,3,,3,3,3,5,,4,3,3,3,3,2,5,3,5,3,5,5,5,5,7,No,White or Caucasian,"Some college, but no degree","Less than $25,000",80206,55-64 years old,Female,,Republican,,4,1,2,2,2,1,3,3,4,18774,W
559,R_5Qry8bZhGik30UP,"Scrumpys Cider,Topo Chico Seltzer,White Claw,Angry Orchard","Smirnoff,Crown Royal,Bacardi","New Belgium,Coors Light,Budweiser,Corona","Burger King,Mcdonald's,Sonic Drive-In,Five Guys Burgers and Fries","Papa John's,Domino's","Waffle House,Cracker Barrel","Coca-Cola,Pepsico","General Mills,Kellogg","Nestle,Chocolove,Hershey",4,4,2,2,2,2,2,2,2,4,2,4,2,4,4,4,5,4,3,4,4,1,4,4,4,4,2,5,3,2,3,1,2,1,4,2,2,2,2,3,3,2,3,2,3,2,4,1,3,1,1,3,5,5,4,4,4,No,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$75,000-$99,999",81226,65+ years old,Female,,Republican,,6,3,3,2,2,1,1,2,5,559,W
